"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"57","2016-01-27","W62336","MXP","BUD","2016-01-27T22:15:00.000","2016-01-27T23:50:00.000","32S"
"58","2016-01-27","W62340","FCO","BUD","2016-01-27T12:40:00.000","2016-01-27T14:20:00.000","32S"
"59","2016-01-27","W62356","BLQ","BUD","2016-01-27T14:20:00.000","2016-01-27T15:45:00.000","32S"
"60","2016-01-27","W62362","BRI","BUD","2016-01-27T14:40:00.000","2016-01-27T16:10:00.000","32S"
"61","2016-01-27","W62372","MAD","BUD","2016-01-27T20:50:00.000","2016-01-27T23:55:00.000","32S"
"62","2016-01-27","W62376","BCN","BUD","2016-01-27T09:15:00.000","2016-01-27T11:50:00.000","32S"
"63","2016-01-27","W62394","LIS","BUD","2016-01-27T20:00:00.000","2016-01-28T00:35:00.000","32S"
"64","2016-01-27","W62398","SAW","BUD","2016-01-27T15:05:00.000","2016-01-27T16:05:00.000","32S"
"65","2016-01-27","W62404","NYO","BUD","2016-01-27T21:55:00.000","2016-01-27T23:55:00.000","32S"
"66","2016-01-27","W62410","MMX","BUD","2016-01-27T13:05:00.000","2016-01-27T14:50:00.000","32S"
"67","2016-01-27","W62458","TLV","BUD","2016-01-27T11:15:00.000","2016-01-27T13:45:00.000","32S"
"68","2016-01-27","W62468","WAW","BUD","2016-01-27T15:45:00.000","2016-01-27T17:00:00.000","32S"
"69","2016-01-27","W62474","IEV","BUD","2016-01-27T06:15:00.000","2016-01-27T07:00:00.000","32S"
"70","2016-01-27","W62490","VKO","BUD","2016-01-27T11:25:00.000","2016-01-27T12:05:00.000","32S"
"71","2016-01-27","W62496","MLA","BUD","2016-01-27T14:15:00.000","2016-01-27T16:30:00.000","32S"
"72","2016-01-27","W62502","LTN","RIX","2016-01-27T14:15:00.000","2016-01-27T18:55:00.000","32S"
"73","2016-01-27","W62532","DTM","RIX","2016-01-27T12:50:00.000","2016-01-27T15:55:00.000","32S"
"74","2016-01-27","W62564","BCN","RIX","2016-01-27T19:55:00.000","2016-01-28T00:30:00.000","32S"
"75","2016-01-27","W62584","SVG","RIX","2016-01-27T07:40:00.000","2016-01-27T10:40:00.000","32S"
"76","2016-01-27","W62602","LTN","PRG","2016-01-27T21:05:00.000","2016-01-27T23:55:00.000","32S"
"77","2016-01-27","W62682","BGY","PRG","2016-01-27T17:45:00.000","2016-01-27T19:05:00.000","32S"
"78","2016-01-27","W62692","NAP","PRG","2016-01-27T13:15:00.000","2016-01-27T15:15:00.000","32S"
"79","2016-01-27","W62802","LTN","BRQ","2016-01-27T07:30:00.000","2016-01-27T10:30:00.000","32S"
"80","2016-01-27","W62826","EIN","BRQ","2016-01-27T09:35:00.000","2016-01-27T11:15:00.000","32S"
"81","2016-01-27","W63002","LTN","OTP","2016-01-27T08:40:00.000","2016-01-27T13:55:00.000","32S"
"82","2016-01-27","W63004","LTN","OTP","2016-01-27T14:50:00.000","2016-01-27T20:00:00.000","32S"
"83","2016-01-27","W63010","LTN","OTP","2016-01-27T21:40:00.000","2016-01-28T02:55:00.000","32S"
"84","2016-01-27","W63082","CRL","OTP","2016-01-27T15:10:00.000","2016-01-27T18:55:00.000","32S"
"85","2016-01-27","W63092","DTM","OTP","2016-01-27T08:25:00.000","2016-01-27T12:00:00.000","32S"
"86","2016-01-27","W63102","NUE","OTP","2016-01-27T20:55:00.000","2016-01-27T23:55:00.000","32S"
