"","flight.nums.i.","flight.origin","flight.dest","airline"
"355","FR1247","BTS","ATH","FR"
"356","FR1250","RHO","ATH","FR"
"357","FR1253","BHX","KTW","FR"
"358","FR1254","KTW","BHX","FR"
"359","FR1260","ATH","BGY","FR"
"360","FR1270","BGY","ATH","FR"
"361","FR1283","BCN","XRY","FR"
"362","FR1284","XRY","BCN","FR"
"363","FR1298","CIA","ATH","FR"
"364","FR1299","ATH","CIA","FR"
"365","FR1300","ATH","PFO","FR"
"366","FR1310","PFO","ATH","FR"
"367","FR1340","ATH","RHO","FR"
"368","FR1341","RYG","TLL","FR"
"369","FR1342","TLL","RYG","FR"
"370","FR1344","SNN","ACE","FR"
"371","FR1345","ACE","SNN","FR"
"372","FR1348","SNN","TFS","FR"
"373","FR1349","TFS","SNN","FR"
"374","FR1350","RHO","ATH","FR"
"375","FR1355","CGN","ALC","FR"
"376","FR1356","ALC","CGN","FR"
"377","FR1364","STN","RBA","FR"
"378","FR1365","RBA","STN","FR"
"379","FR1367","ATH","SKG","FR"
"380","FR1368","SKG","ATH","FR"
"381","FR1382","CRL","ZAZ","FR"
"382","FR1383","ZAZ","CRL","FR"
"383","FR1384","CRL","PGF","FR"
"384","FR1385","PGF","CRL","FR"
"385","FR1386","CRL","OPO","FR"
"386","FR1387","OPO","CRL","FR"
"387","FR1388","CRL","BOD","FR"
"388","FR1389","BOD","CRL","FR"
"389","FR1392","STN","RYG","FR"
"390","FR1393","RYG","STN","FR"
"391","FR1394","STN","RYG","FR"
"392","FR1395","RYG","STN","FR"
"393","FR1396","STN","RYG","FR"
"394","FR1397","RYG","STN","FR"
"395","FR1404","CGN","WMI","FR"
"396","FR1405","WMI","CGN","FR"
"397","FR1411","PSA","CIY","FR"
"398","FR1412","CIY","PSA","FR"
"399","FR1418","PSA","LPA","FR"
"400","FR1419","LPA","PSA","FR"
"401","FR1421","PSA","LIS","FR"
"402","FR1422","LIS","PSA","FR"
"403","FR1442","DUB","LPL","FR"
"404","FR1443","LPL","DUB","FR"
"405","FR1448","BHX","ACE","FR"
"406","FR1449","ACE","BHX","FR"
"407","FR1452","DUB","BRU","FR"
"408","FR1453","BRU","DUB","FR"
"409","FR1454","DUB","BRU","FR"
"410","FR1455","BRU","DUB","FR"
"411","FR1456","DUB","BRU","FR"
"412","FR1465","BHX","KRK","FR"
"413","FR1466","KRK","BHX","FR"
"414","FR1503","LBA","GDN","FR"
"415","FR1504","GDN","LBA","FR"
"416","FR1513","TFS","BVA","FR"
"417","FR1514","BVA","TFS","FR"
"418","FR1524","FKB","TFS","FR"
"419","FR1525","TFS","FKB","FR"
"420","FR1556","DUB","MAN","FR"
"421","FR1557","MAN","DUB","FR"
"422","FR1561","TFS","CPH","FR"
"423","FR1562","CPH","TFS","FR"
"424","FR1584","LBA","FUE","FR"
"425","FR1585","FUE","LBA","FR"
"426","FR1598","STN","LEJ","FR"
"427","FR1599","LEJ","STN","FR"
"428","FR1624","EMA","LCJ","FR"
"429","FR1625","LCJ","EMA","FR"
"430","FR1632","EMA","LIG","FR"
"431","FR1633","LIG","EMA","FR"
"432","FR1638","EMA","SXF","FR"
"433","FR1639","SXF","EMA","FR"
"434","FR1647","WRO","EMA","FR"
"435","FR1665","RIX","EMA","FR"
"436","FR1684","NYO","MLA","FR"
"437","FR1685","MLA","NYO","FR"
"438","FR1702","EMA","BGY","FR"
"439","FR1703","BGY","EMA","FR"
"440","FR1724","EMA","KRK","FR"
"441","FR1725","KRK","EMA","FR"
"442","FR1742","EMA","NOC","FR"
"443","FR1743","NOC","EMA","FR"
"444","FR1766","EMA","FAO","FR"
"445","FR1767","FAO","EMA","FR"
"446","FR1782","STN","BOD","FR"
"447","FR1783","BOD","STN","FR"
"448","FR1786","HHN","LIS","FR"
"449","FR1787","LIS","HHN","FR"
"450","FR1788","STN","DTM","FR"
"451","FR1789","DTM","STN","FR"
"452","FR1836","STN","PDV","FR"
"453","FR1837","PDV","STN","FR"
"454","FR1856","HHN","VNO","FR"
"455","FR1857","VNO","HHN","FR"
"456","FR1882","STN","LIS","FR"
"457","FR1883","LIS","STN","FR"
"458","FR1884","STN","LIS","FR"
"459","FR1885","LIS","STN","FR"
"460","FR1886","STN","LIS","FR"
"461","FR1887","LIS","STN","FR"
"462","FR1892","DUB","BZG","FR"
"463","FR1893","BZG","DUB","FR"
"464","FR1901","DUB","KRK","FR"
"465","FR1902","KRK","DUB","FR"
"466","FR1903","STN","LNZ","FR"
"467","FR1904","LNZ","STN","FR"
"468","FR1905","STN","BRI","FR"
"469","FR1906","BRI","STN","FR"
"470","FR1908","DUB","GDN","FR"
"471","FR1909","GDN","DUB","FR"
"472","FR1918","CRL","VLC","FR"
"473","FR1919","VLC","CRL","FR"
"474","FR1923","DUB","KRK","FR"
"475","FR1924","KRK","DUB","FR"
"476","FR1926","DUB","WRO","FR"
"477","FR1927","WRO","DUB","FR"
"478","FR1928","CRL","AGP","FR"
"479","FR1929","AGP","CRL","FR"
"480","FR1943","NYO","BGY","FR"
"481","FR1944","BGY","NYO","FR"
"482","FR1948","DUB","HHN","FR"
"483","FR1949","HHN","DUB","FR"
"484","FR1951","NYO","NRN","FR"
"485","FR1952","NRN","NYO","FR"
"486","FR1958","DUB","NCE","FR"
"487","FR1959","NCE","DUB","FR"
"488","FR1961","TFS","SVQ","FR"
"489","FR1964","DUB","EIN","FR"
"490","FR1965","EIN","DUB","FR"
"491","FR1966","SVQ","TFS","FR"
"492","FR1971","TFS","VLC","FR"
"493","FR1972","VLC","TFS","FR"
"494","FR1974","DUB","POZ","FR"
"495","FR1975","POZ","DUB","FR"
"496","FR1976","DUB","RIX","FR"
"497","FR1977","RIX","DUB","FR"
"498","FR1978","DUB","LCJ","FR"
"499","FR1979","LCJ","DUB","FR"
"500","FR1984","DUB","CCF","FR"
"501","FR1985","CCF","DUB","FR"
"502","FR1986","DUB","NTE","FR"
"503","FR1987","NTE","DUB","FR"
"504","FR1991","TFS","SDR","FR"
"505","FR1996","DUB","GNB","FR"
"506","FR1997","GNB","DUB","FR"
"507","FR2001","ACE","SCQ","FR"
"508","FR2002","SCQ","ACE","FR"
"509","FR2011","MAD","LPA","FR"
"510","FR2012","LPA","MAD","FR"
"511","FR2013","STN","PRG","FR"
"512","FR2014","PRG","STN","FR"
"513","FR2015","MAD","ACE","FR"
"514","FR2016","ACE","MAD","FR"
"515","FR2017","MAD","ACE","FR"
"516","FR2018","ACE","MAD","FR"
"517","FR2028","PSA","CRV","FR"
"518","FR2029","CRV","PSA","FR"
"519","FR2031","MAD","LPA","FR"
"520","FR2032","LPA","MAD","FR"
"521","FR2037","PMI","DTM","FR"
"522","FR2038","DTM","PMI","FR"
"523","FR2040","CTA","TSF","FR"
"524","FR2047","ACE","LBA","FR"
"525","FR2048","LBA","ACE","FR"
"526","FR2050","TSF","CTA","FR"
"527","FR2052","PMI","MAD","FR"
"528","FR2053","MAD","PMI","FR"
"529","FR2054","PMI","MAD","FR"
"530","FR2061","MAD","PMI","FR"
"531","FR2062","PMI","MAD","FR"
"532","FR2063","MAD","PMI","FR"
"533","FR2064","PMI","MAD","FR"
"534","FR2065","OPO","DTM","FR"
"535","FR2066","DTM","OPO","FR"
"536","FR2077","LIS","MRS","FR"
"537","FR2078","MRS","LIS","FR"
"538","FR2084","MAD","IBZ","FR"
"539","FR2085","IBZ","MAD","FR"
"540","FR2086","LIS","BGY","FR"
"541","FR2087","BGY","LIS","FR"
"542","FR2088","BRE","LIS","FR"
"543","FR2089","LIS","BRE","FR"
"544","FR2091","BRU","LCA","FR"
"545","FR2092","LCA","BRU","FR"
"546","FR2093","OPO","LIS","FR"
"547","FR2094","LIS","OPO","FR"
"548","FR2095","OPO","LIS","FR"
"549","FR2096","LIS","OPO","FR"
"550","FR2097","LIS","CIA","FR"
"551","FR2098","CIA","LIS","FR"
"552","FR2101","CRL","OTP","FR"
"553","FR2102","OTP","CRL","FR"
"554","FR2121","CRL","PRG","FR"
"555","FR2122","PRG","CRL","FR"
"556","FR2131","MAN","ACE","FR"
"557","FR2132","ACE","MAN","FR"
"558","FR2136","STN","RZE","FR"
"559","FR2137","RZE","STN","FR"
"560","FR2138","STN","GNB","FR"
"561","FR2139","GNB","STN","FR"
"562","FR2141","MAN","KRK","FR"
"563","FR2142","KRK","MAN","FR"
"564","FR2144","STN","KUN","FR"
"565","FR2145","KUN","STN","FR"
"566","FR2148","STN","GNB","FR"
"567","FR2149","GNB","STN","FR"
"568","FR2152","BHX","ALC","FR"
"569","FR2153","ALC","BHX","FR"
"570","FR2156","BHX","AGP","FR"
"571","FR2157","AGP","BHX","FR"
"572","FR2162","BHX","PMI","FR"
"573","FR2163","PMI","BHX","FR"
"574","FR2201","GRO","KRK","FR"
"575","FR2202","KRK","GRO","FR"
"576","FR2212","REU","EIN","FR"
"577","FR2213","EIN","REU","FR"
"578","FR2220","ATH","CHQ","FR"
"579","FR2224","TLL","STN","FR"
"580","FR2225","STN","TLL","FR"
"581","FR2230","CHQ","ATH","FR"
"582","FR2234","NDR","BCN","FR"
"583","FR2244","STN","VNO","FR"
"584","FR2245","VNO","STN","FR"
"585","FR2263","WMI","LIS","FR"
"586","FR2264","LIS","WMI","FR"
"587","FR2272","DUB","STN","FR"
"588","FR2281","STN","WMI","FR"
"589","FR2282","WMI","STN","FR"
"590","FR2283","STN","WMI","FR"
"591","FR2284","WMI","STN","FR"
"592","FR2301","SNN","BVA","FR"
"593","FR2302","BVA","SNN","FR"
"594","FR2306","LTN","BTS","FR"
"595","FR2307","BTS","LTN","FR"
"596","FR2311","SNN","SXF","FR"
"597","FR2314","STN","BTS","FR"
"598","FR2315","BTS","STN","FR"
"599","FR2318","STN","BTS","FR"
"600","FR2319","BTS","STN","FR"
"601","FR2332","LBA","KRK","FR"
"602","FR2333","KRK","LBA","FR"
"603","FR2336","STN","POZ","FR"
"604","FR2337","POZ","STN","FR"
"605","FR2358","NOC","ACE","FR"
"606","FR2359","ACE","NOC","FR"
"607","FR2368","STN","OSR","FR"
"608","FR2369","OSR","STN","FR"
"609","FR2371","STN","DUB","FR"
"610","FR2372","STN","GDN","FR"
"611","FR2373","GDN","STN","FR"
"612","FR2374","STN","GDN","FR"
"613","FR2375","GDN","STN","FR"
"614","FR2404","STN","FMM","FR"
"615","FR2405","FMM","STN","FR"
"616","FR2406","STN","FMM","FR"
"617","FR2407","FMM","STN","FR"
"618","FR2408","ALC","FMM","FR"
"619","FR2409","FMM","ALC","FR"
"620","FR2411","EMA","MLA","FR"
"621","FR2412","DUB","FMM","FR"
"622","FR2413","FMM","DUB","FR"
"623","FR2432","STN","KRK","FR"
"624","FR2433","KRK","STN","FR"
"625","FR2434","STN","KRK","FR"
"626","FR2435","KRK","STN","FR"
"627","FR2436","STN","KRK","FR"
"628","FR2437","KRK","STN","FR"
"629","FR2446","LBA","AGP","FR"
"630","FR2447","AGP","LBA","FR"
"631","FR2448","LBA","MLA","FR"
"632","FR2449","MLA","LBA","FR"
"633","FR2462","STN","BZG","FR"
"634","FR2463","BZG","STN","FR"
"635","FR2466","STN","SZZ","FR"
"636","FR2467","SZZ","STN","FR"
"637","FR2468","STN","LCJ","FR"
"638","FR2469","LCJ","STN","FR"
"639","FR2472","MLA","EMA","FR"
"640","FR2482","LBA","RIX","FR"
"641","FR2483","RIX","LBA","FR"
"642","FR2492","LBA","TFS","FR"
"643","FR2493","TFS","LBA","FR"
"644","FR2507","BCN","CGN","FR"
"645","FR2508","CGN","BCN","FR"
"646","FR2511","AGP","BVA","FR"
"647","FR2512","BVA","AGP","FR"
"648","FR2513","MAD","OTP","FR"
"649","FR2514","OTP","MAD","FR"
"650","FR2515","MAD","BTS","FR"
"651","FR2516","BTS","MAD","FR"
"652","FR2517","MAD","VNO","FR"
"653","FR2518","VNO","MAD","FR"
"654","FR2524","AGP","GOT","FR"
"655","FR2525","GOT","AGP","FR"
"656","FR2526","MAD","SXF","FR"
"657","FR2527","SXF","MAD","FR"
"658","FR2528","MAD","SXF","FR"
"659","FR2529","SXF","MAD","FR"
"660","FR2531","AGP","BLL","FR"
"661","FR2532","BLL","AGP","FR"
"662","FR2541","AGP","FMM","FR"
"663","FR2542","FMM","AGP","FR"
"664","FR2553","ACE","SVQ","FR"
"665","FR2554","SVQ","ACE","FR"
"666","FR2563","AGP","TRF","FR"
"667","FR2564","TRF","AGP","FR"
"668","FR2567","AGP","NYO","FR"
"669","FR2568","NYO","AGP","FR"
"670","FR2573","AGP","SCQ","FR"
"671","FR2574","SCQ","AGP","FR"
"672","FR2575","AGP","EIN","FR"
"673","FR2576","EIN","AGP","FR"
"674","FR2590","SXF","AGP","FR"
"675","FR2591","AGP","SXF","FR"
"676","FR2599","SXF","RIX","FR"
"677","FR2600","RIX","SXF","FR"
"678","FR2606","SXF","TSF","FR"
"679","FR2607","TSF","SXF","FR"
"680","FR2612","STN","SDR","FR"
"681","FR2613","SDR","STN","FR"
"682","FR2616","KRK","VDA","FR"
"683","FR2617","VDA","KRK","FR"
"684","FR2618","KUN","VDA","FR"
"685","FR2619","VDA","KUN","FR"
"686","FR2620","BUD","VDA","FR"
"687","FR2621","VDA","BUD","FR"
"688","FR2622","PDL","LIS","FR"
"689","FR2623","LIS","PDL","FR"
"690","FR2624","PDL","LIS","FR"
"691","FR2625","LIS","PDL","FR"
"692","FR2630","PDL","STN","FR"
"693","FR2631","STN","PDL","FR"
"694","FR2632","PDL","OPO","FR"
"695","FR2633","OPO","PDL","FR"
"696","FR2634","STN","ZAZ","FR"
"697","FR2635","ZAZ","STN","FR"
"698","FR2642","STN","RIX","FR"
"699","FR2643","RIX","STN","FR"
"700","FR2644","STN","RIX","FR"
"701","FR2645","RIX","STN","FR"
"702","FR2665","WMI","MAN","FR"
"703","FR2666","MAN","WMI","FR"
"704","FR2669","STN","WMI","FR"
"705","FR2670","WMI","STN","FR"
"706","FR2672","STN","CIA","FR"
"707","FR2673","CIA","STN","FR"
"708","FR2674","EDI","CPH","FR"
"709","FR2675","CPH","EDI","FR"
"710","FR2676","BLQ","CPH","FR"
"711","FR2677","CPH","BLQ","FR"
