"","flight.nums.i.","flight.origin","flight.dest","airline"
"1762","FR7796","MRS","MLA","FR"
"1763","FR7821","RYG","EDI","FR"
"1764","FR7822","EDI","RYG","FR"
"1765","FR7921","EDI","GDN","FR"
"1766","FR7922","GDN","EDI","FR"
"1767","FR7951","BGY","CTA","FR"
"1768","FR7952","CTA","BGY","FR"
"1769","FR7961","STN","TGD","FR"
"1770","FR7962","TGD","STN","FR"
"1771","FR7973","STN","BSL","FR"
"1772","FR7974","BSL","STN","FR"
"1773","FR8011","DUB","WMI","FR"
"1774","FR8012","WMI","DUB","FR"
"1775","FR8013","TPS","CAG","FR"
"1776","FR8014","CAG","TPS","FR"
"1777","FR8023","CRL","CCF","FR"
"1778","FR8024","CCF","CRL","FR"
"1779","FR8027","MJV","STN","FR"
"1780","FR8028","STN","MJV","FR"
"1781","FR8035","DUB","CGN","FR"
"1782","FR8036","CGN","DUB","FR"
"1783","FR8042","CRL","AOI","FR"
"1784","FR8043","AOI","CRL","FR"
"1785","FR8048","CRL","FNI","FR"
"1786","FR8049","FNI","CRL","FR"
"1787","FR8073","CRL","TNG","FR"
"1788","FR8074","TNG","CRL","FR"
"1789","FR8075","CRL","RAK","FR"
"1790","FR8076","RAK","CRL","FR"
"1791","FR8077","CRL","MPL","FR"
"1792","FR8078","MPL","CRL","FR"
"1793","FR8081","CRL","FEZ","FR"
"1794","FR8082","FEZ","CRL","FR"
"1795","FR8085","CRL","RIX","FR"
"1796","FR8086","RIX","CRL","FR"
"1797","FR8092","HHN","TSF","FR"
"1798","FR8093","TSF","HHN","FR"
"1799","FR8095","BGY","BDS","FR"
"1800","FR8096","BDS","BGY","FR"
"1801","FR8097","BVA","RBA","FR"
"1802","FR8098","RBA","BVA","FR"
"1803","FR8113","CIA","RAK","FR"
"1804","FR8114","RAK","CIA","FR"
"1805","FR8116","NUE","STN","FR"
"1806","FR8117","STN","NUE","FR"
"1807","FR8121","BRS","AGP","FR"
"1808","FR8122","AGP","BRS","FR"
"1809","FR8132","STN","LPA","FR"
"1810","FR8133","LPA","STN","FR"
"1811","FR8136","BCN","IBZ","FR"
"1812","FR8137","IBZ","BCN","FR"
"1813","FR8140","IBZ","BCN","FR"
"1814","FR8141","BCN","IBZ","FR"
"1815","FR8142","LTN","NOC","FR"
"1816","FR8143","NOC","LTN","FR"
"1817","FR8154","TPS","PMF","FR"
"1818","FR8155","PMF","TPS","FR"
"1819","FR8156","STN","TFS","FR"
"1820","FR8157","TFS","STN","FR"
"1821","FR8162","STN","AGP","FR"
"1822","FR8163","AGP","STN","FR"
"1823","FR8164","STN","AGP","FR"
"1824","FR8165","AGP","STN","FR"
"1825","FR8166","STN","TFS","FR"
"1826","FR8167","TFS","STN","FR"
"1827","FR8172","CRL","AGA","FR"
"1828","FR8173","AGA","CRL","FR"
"1829","FR8174","CRL","ACE","FR"
"1830","FR8175","ACE","CRL","FR"
"1831","FR8176","CRL","LPA","FR"
"1832","FR8177","LPA","CRL","FR"
"1833","FR8178","CRL","TFS","FR"
"1834","FR8179","TFS","CRL","FR"
"1835","FR8182","STN","FUE","FR"
"1836","FR8183","FUE","STN","FR"
"1837","FR8206","BRS","BUD","FR"
"1838","FR8207","BUD","BRS","FR"
"1839","FR8212","BRS","WRO","FR"
"1840","FR8213","WRO","BRS","FR"
"1841","FR8216","BRS","POZ","FR"
"1842","FR8217","POZ","BRS","FR"
"1843","FR8224","BRS","RZE","FR"
"1844","FR8225","RZE","BRS","FR"
"1845","FR8226","AHO","BTS","FR"
"1846","FR8227","BTS","AHO","FR"
"1847","FR8238","FEZ","FNI","FR"
"1848","FR8239","FNI","FEZ","FR"
"1849","FR8248","BRS","FAO","FR"
"1850","FR8249","FAO","BRS","FR"
"1851","FR8254","BRS","GDN","FR"
"1852","FR8255","GDN","BRS","FR"
"1853","FR8266","STN","KTW","FR"
"1854","FR8267","KTW","STN","FR"
"1855","FR8288","STN","ACE","FR"
"1856","FR8289","ACE","STN","FR"
"1857","FR8296","BRS","ALC","FR"
"1858","FR8297","ALC","BRS","FR"
"1859","FR8315","TPS","GOA","FR"
"1860","FR8316","GOA","TPS","FR"
"1861","FR8321","STN","VLC","FR"
"1862","FR8322","VLC","STN","FR"
"1863","FR8323","STN","VLC","FR"
"1864","FR8324","VLC","STN","FR"
"1865","FR8343","STN","OPO","FR"
"1866","FR8344","OPO","STN","FR"
"1867","FR8345","STN","OPO","FR"
"1868","FR8346","OPO","STN","FR"
"1869","FR8348","OPO","STN","FR"
"1870","FR8353","STN","BUD","FR"
"1871","FR8354","BUD","STN","FR"
"1872","FR8357","BUD","MAN","FR"
"1873","FR8358","MAN","BUD","FR"
"1874","FR8363","STN","SVQ","FR"
"1875","FR8364","SVQ","STN","FR"
"1876","FR8367","BUD","MAD","FR"
"1877","FR8368","MAD","BUD","FR"
"1878","FR8369","BUD","STN","FR"
"1879","FR8371","STN","BUD","FR"
"1880","FR8378","STN","SCQ","FR"
"1881","FR8379","SCQ","STN","FR"
"1882","FR8382","STN","ALC","FR"
"1883","FR8383","ALC","STN","FR"
"1884","FR8386","STN","PMI","FR"
"1885","FR8387","PMI","STN","FR"
"1886","FR8393","BUD","BCN","FR"
"1887","FR8394","BCN","BUD","FR"
"1888","FR8403","STN","BRQ","FR"
"1889","FR8404","BRQ","STN","FR"
"1890","FR8405","STN","WRO","FR"
"1891","FR8406","WRO","STN","FR"
"1892","FR8407","STN","WRO","FR"
"1893","FR8408","WRO","STN","FR"
"1894","FR8411","BUD","BGY","FR"
"1895","FR8412","BGY","BUD","FR"
"1896","FR8413","BUD","BVA","FR"
"1897","FR8414","BVA","BUD","FR"
"1898","FR8415","BUD","CRL","FR"
"1899","FR8416","CRL","BUD","FR"
"1900","FR8417","BUD","CIA","FR"
"1901","FR8418","CIA","BUD","FR"
"1902","FR8421","EDI","FUE","FR"
"1903","FR8422","FUE","EDI","FR"
"1904","FR8445","STN","BUD","FR"
"1905","FR8446","BUD","STN","FR"
"1906","FR8474","STN","PIS","FR"
"1907","FR8475","PIS","STN","FR"
"1908","FR8503","RYG","KRK","FR"
"1909","FR8504","KRK","RYG","FR"
"1910","FR8505","RYG","GDN","FR"
"1911","FR8506","GDN","RYG","FR"
"1912","FR8523","RYG","RIX","FR"
"1913","FR8524","RIX","RYG","FR"
"1914","FR8538","ALC","SCQ","FR"
"1915","FR8539","SCQ","ALC","FR"
"1916","FR8542","STN","SXF","FR"
"1917","FR8543","SXF","STN","FR"
"1918","FR8544","STN","SXF","FR"
"1919","FR8545","SXF","STN","FR"
"1920","FR8548","CGN","BGY","FR"
"1921","FR8549","BGY","CGN","FR"
"1922","FR8554","CDT","STN","FR"
"1923","FR8555","STN","CDT","FR"
"1924","FR8556","DUB","SXF","FR"
"1925","FR8557","SXF","DUB","FR"
"1926","FR8558","DUB","SXF","FR"
"1927","FR8559","SXF","DUB","FR"
"1928","FR8582","STN","SKG","FR"
"1929","FR8583","SKG","STN","FR"
"1930","FR8591","RYG","WRO","FR"
"1931","FR8592","STN","EGC","FR"
"1932","FR8593","EGC","STN","FR"
"1933","FR8594","WRO","RYG","FR"
"1934","FR8602","NRN","VLC","FR"
"1935","FR8603","VLC","NRN","FR"
"1936","FR8606","NRN","BGY","FR"
"1937","FR8607","BGY","NRN","FR"
"1938","FR8608","CRL","SUF","FR"
"1939","FR8609","SUF","CRL","FR"
"1940","FR8612","NRN","AGP","FR"
"1941","FR8613","AGP","NRN","FR"
"1942","FR8626","NRN","FUE","FR"
"1943","FR8627","FUE","NRN","FR"
"1944","FR8628","TPS","TRN","FR"
"1945","FR8629","TRN","TPS","FR"
"1946","FR8631","TPS","CRL","FR"
"1947","FR8632","CRL","TPS","FR"
"1948","FR8636","NRN","RAK","FR"
"1949","FR8637","RAK","NRN","FR"
"1950","FR8647","TPS","TRS","FR"
"1951","FR8648","TRS","TPS","FR"
"1952","FR8658","MLA","KUN","FR"
"1953","FR8659","KUN","MLA","FR"
"1954","FR8681","BRS","KUN","FR"
"1955","FR8682","KUN","BRS","FR"
"1956","FR8702","BRI","GOA","FR"
"1957","FR8703","GOA","BRI","FR"
"1958","FR8704","BRI","TSF","FR"
"1959","FR8705","TSF","BRI","FR"
"1960","FR8706","BRI","CRL","FR"
"1961","FR8707","CRL","BRI","FR"
"1962","FR8708","BRI","BVA","FR"
"1963","FR8709","BVA","BRI","FR"
"1964","FR8711","TSF","BRI","FR"
"1965","FR8712","BRI","TSF","FR"
"1966","FR8714","BRI","TRN","FR"
"1967","FR8715","TRN","BRI","FR"
"1968","FR8720","SZZ","RYG","FR"
"1969","FR8721","RYG","SZZ","FR"
"1970","FR8722","BRI","NRN","FR"
"1971","FR8723","NRN","BRI","FR"
"1972","FR8726","BRI","CAG","FR"
"1973","FR8728","MXP","STN","FR"
"1974","FR8729","STN","MXP","FR"
"1975","FR8730","MXP","CIY","FR"
"1976","FR8731","CIY","MXP","FR"
"1977","FR8732","MXP","SVQ","FR"
"1978","FR8733","SVQ","MXP","FR"
"1979","FR8734","MXP","OTP","FR"
"1980","FR8735","OTP","MXP","FR"
"1981","FR8736","STN","MXP","FR"
"1982","FR8737","MXP","STN","FR"
"1983","FR8746","STN","LRH","FR"
"1984","FR8747","LRH","STN","FR"
"1985","FR8764","RAK","TUF","FR"
"1986","FR8765","TUF","RAK","FR"
"1987","FR8772","BRI","FKB","FR"
"1988","FR8773","FKB","BRI","FR"
"1989","FR8774","CRL","OUD","FR"
"1990","FR8775","OUD","CRL","FR"
"1991","FR8776","STN","LIG","FR"
"1992","FR8777","LIG","STN","FR"
"1993","FR8781","GDN","ORK","FR"
"1994","FR8782","ORK","GDN","FR"
"1995","FR8795","BGY","BDS","FR"
"1996","FR8796","BDS","BGY","FR"
"1997","FR8803","AGP","CGN","FR"
"1998","FR8804","CGN","AGP","FR"
"1999","FR8806","BGY","FUE","FR"
"2000","FR8807","FUE","BGY","FR"
"2001","FR8811","MLA","KRK","FR"
"2002","FR8812","KRK","MLA","FR"
"2003","FR8821","KUN","SNN","FR"
"2004","FR8822","SNN","KUN","FR"
"2005","FR8823","STN","EDI","FR"
"2006","FR8824","EDI","STN","FR"
"2007","FR8826","BDS","TRN","FR"
"2008","FR8827","TRN","BDS","FR"
"2009","FR8828","BDS","TSF","FR"
"2010","FR8829","TSF","BDS","FR"
"2011","FR8832","BDS","EIN","FR"
"2012","FR8833","EIN","BDS","FR"
"2013","FR8838","BGY","TFS","FR"
"2014","FR8839","TFS","BGY","FR"
"2015","FR8842","IBZ","BCN","FR"
"2016","FR8844","BGY","WRO","FR"
"2017","FR8845","WRO","BGY","FR"
"2018","FR8846","BGY","RAK","FR"
"2019","FR8847","RAK","BGY","FR"
"2020","FR8852","MLA","STN","FR"
"2021","FR8853","STN","MLA","FR"
"2022","FR8854","CIA","AHO","FR"
"2023","FR8855","AHO","CIA","FR"
"2024","FR8856","ORK","WRO","FR"
"2025","FR8857","WRO","ORK","FR"
"2026","FR8868","STN","TUF","FR"
"2027","FR8869","TUF","STN","FR"
"2028","FR8876","PSA","RAK","FR"
"2029","FR8877","RAK","PSA","FR"
"2030","FR8878","SNN","WMI","FR"
"2031","FR8879","WMI","SNN","FR"
"2032","FR8881","STN","EDI","FR"
"2033","FR8882","EDI","STN","FR"
"2034","FR8883","STN","EDI","FR"
"2035","FR8884","EDI","STN","FR"
"2036","FR8885","BGY","BDS","FR"
"2037","FR8886","BDS","BGY","FR"
"2038","FR8887","STN","EDI","FR"
"2039","FR8888","EDI","STN","FR"
"2040","FR8892","BGY","PMO","FR"
"2041","FR8893","PMO","BGY","FR"
"2042","FR8921","TSF","PMO","FR"
"2043","FR8922","PMO","TSF","FR"
"2044","FR8928","LPL","MLA","FR"
"2045","FR8929","MLA","LPL","FR"
"2046","FR8934","WRO","BVA","FR"
"2047","FR8935","BVA","WRO","FR"
"2048","FR8954","BRI","TRS","FR"
"2049","FR8955","TRS","BRI","FR"
"2050","FR8966","ATH","SKG","FR"
"2051","FR8967","SKG","ATH","FR"
"2052","FR8968","ATH","SKG","FR"
"2053","FR8969","SKG","ATH","FR"
"2054","FR8973","RYG","POZ","FR"
"2055","FR8974","POZ","RYG","FR"
"2056","FR8975","ALC","STN","FR"
"2057","FR8976","STN","ALC","FR"
"2058","FR9006","GRO","RAK","FR"
"2059","FR9007","RAK","GRO","FR"
"2060","FR9014","STN","BCN","FR"
"2061","FR9015","BCN","STN","FR"
"2062","FR9016","BCN","FEZ","FR"
"2063","FR9017","FEZ","BCN","FR"
"2064","FR9021","ATH","WMI","FR"
"2065","FR9022","WMI","ATH","FR"
"2066","FR9023","DLE","FEZ","FR"
"2067","FR9024","FEZ","DLE","FR"
"2068","FR9026","GRO","BTS","FR"
"2069","FR9027","BTS","GRO","FR"
"2070","FR9034","ALC","BVA","FR"
"2071","FR9035","BVA","ALC","FR"
"2072","FR9042","ALC","MST","FR"
"2073","FR9043","MST","ALC","FR"
"2074","FR9044","STN","BCN","FR"
"2075","FR9045","BCN","STN","FR"
"2076","FR9052","ALC","CRL","FR"
"2077","FR9053","CRL","ALC","FR"
"2078","FR9054","ALC","FKB","FR"
"2079","FR9055","FKB","ALC","FR"
"2080","FR9056","ALC","BRE","FR"
"2081","FR9057","BRE","ALC","FR"
"2082","FR9058","ALC","RYG","FR"
"2083","FR9059","RYG","ALC","FR"
"2084","FR9061","BGY","TPS","FR"
"2085","FR9062","TPS","BGY","FR"
"2086","FR9064","ALC","BGY","FR"
"2087","FR9065","BGY","ALC","FR"
"2088","FR9078","ALC","LBA","FR"
"2089","FR9079","LBA","ALC","FR"
"2090","FR9082","ALC","BOH","FR"
"2091","FR9083","BOH","ALC","FR"
"2092","FR9084","ALC","EMA","FR"
"2093","FR9085","EMA","ALC","FR"
"2094","FR9086","ALC","GOT","FR"
"2095","FR9087","GOT","ALC","FR"
"2096","FR9091","BGY","TPS","FR"
"2097","FR9092","TPS","BGY","FR"
"2098","FR9111","BCN","TRN","FR"
"2099","FR9112","TRN","BCN","FR"
"2100","FR9123","GRO","EIN","FR"
"2101","FR9124","EIN","GRO","FR"
"2102","FR9132","CIA","OPO","FR"
"2103","FR9133","OPO","CIA","FR"
"2104","FR9134","BVA","OPO","FR"
"2105","FR9135","OPO","BVA","FR"
"2106","FR9138","OPO","DLE","FR"
"2107","FR9139","DLE","OPO","FR"
"2108","FR9145","BCN","LPL","FR"
"2109","FR9146","LPL","BCN","FR"
"2110","FR9155","CIA","SDR","FR"
"2111","FR9156","SDR","CIA","FR"
"2112","FR9163","BHX","BCN","FR"
"2113","FR9172","GRO","WRO","FR"
"2114","FR9173","WRO","GRO","FR"
"2115","FR9195","BGY","PMO","FR"
"2116","FR9196","PMO","BGY","FR"
"2117","FR9204","OPO","HAM","FR"
"2118","FR9205","HAM","OPO","FR"
"2119","FR9211","GRO","FKB","FR"
"2120","FR9212","FKB","GRO","FR"
"2121","FR9231","AHO","EIN","FR"
"2122","FR9232","EIN","AHO","FR"
"2123","FR9241","GRO","PSA","FR"
"2124","FR9242","PSA","GRO","FR"
"2125","FR9261","GRO","AHO","FR"
"2126","FR9271","STN","EIN","FR"
"2127","FR9272","EIN","STN","FR"
"2128","FR9273","STN","EIN","FR"
"2129","FR9274","EIN","STN","FR"
"2130","FR9275","STN","EIN","FR"
"2131","FR9276","EIN","STN","FR"
"2132","FR9282","STN","FAO","FR"
"2133","FR9283","FAO","STN","FR"
"2134","FR9325","PSA","VLC","FR"
"2135","FR9326","VLC","PSA","FR"
"2136","FR9338","PMI","CRL","FR"
"2137","FR9339","CRL","PMI","FR"
"2138","FR9342","SVQ","PSA","FR"
"2139","FR9366","BCN","BLQ","FR"
"2140","FR9367","BLQ","BCN","FR"
"2141","FR9397","CIA","VNO","FR"
"2142","FR9398","VNO","CIA","FR"
"2143","FR9422","PSA","FUE","FR"
"2144","FR9423","FUE","PSA","FR"
"2145","FR9428","DUB","BGY","FR"
"2146","FR9429","BGY","DUB","FR"
"2147","FR9431","CIA","DUB","FR"
"2148","FR9432","DUB","CIA","FR"
"2149","FR9434","DUB","CIA","FR"
"2150","FR9435","CIA","DUB","FR"
"2151","FR9444","DUB","TRN","FR"
"2152","FR9445","TRN","DUB","FR"
"2153","FR9451","TSF","DUB","FR"
"2154","FR9452","DUB","TSF","FR"
"2155","FR9471","PSA","MAD","FR"
"2156","FR9472","MAD","PSA","FR"
"2157","FR9503","NYO","BVA","FR"
"2158","FR9504","BVA","NYO","FR"
"2159","FR9505","DUB","LUZ","FR"
"2160","FR9506","LUZ","DUB","FR"
"2161","FR9524","STN","LUZ","FR"
"2162","FR9525","LUZ","STN","FR"
"2163","FR9564","NYO","CRL","FR"
"2164","FR9565","CRL","NYO","FR"
"2165","FR9584","PSA","PMO","FR"
"2166","FR9585","PMO","PSA","FR"
"2167","FR9601","CIA","MAD","FR"
"2168","FR9602","MAD","CIA","FR"
"2169","FR9615","CIA","EIN","FR"
"2170","FR9616","EIN","CIA","FR"
"2171","FR9618","LPL","TRF","FR"
"2172","FR9619","TRF","LPL","FR"
"2173","FR9621","VNO","LPL","FR"
"2174","FR9628","LPL","POZ","FR"
"2175","FR9629","POZ","LPL","FR"
"2176","FR9631","CIA","BVA","FR"
"2177","FR9632","BVA","CIA","FR"
"2178","FR9635","CIA","BVA","FR"
"2179","FR9636","BVA","CIA","FR"
"2180","FR9638","CIA","WRO","FR"
"2181","FR9639","WRO","CIA","FR"
"2182","FR9646","LPL","KRK","FR"
"2183","FR9647","KRK","LPL","FR"
"2184","FR9648","LPL","WRO","FR"
"2185","FR9649","WRO","LPL","FR"
"2186","FR9662","CIA","KRK","FR"
"2187","FR9663","KRK","CIA","FR"
"2188","FR9666","FCO","SVQ","FR"
"2189","FR9667","SVQ","FCO","FR"
"2190","FR9673","CIA","MAD","FR"
"2191","FR9674","MAD","CIA","FR"
"2192","FR9677","CIA","VLC","FR"
"2193","FR9678","VLC","CIA","FR"
"2194","FR9685","CIA","MAD","FR"
"2195","FR9686","MAD","CIA","FR"
"2196","FR9696","CIA","PFO","FR"
"2197","FR9697","PFO","CIA","FR"
"2198","FR9715","NYO","KRK","FR"
"2199","FR9716","KRK","NYO","FR"
"2200","FR9745","PSA","FEZ","FR"
"2201","FR9746","FEZ","PSA","FR"
"2202","FR9772","STN","FKB","FR"
"2203","FR9773","FKB","STN","FR"
"2204","FR9778","PSA","BDS","FR"
"2205","FR9779","BDS","PSA","FR"
"2206","FR9783","PSA","BRI","FR"
"2207","FR9784","BRI","PSA","FR"
"2208","FR9785","PSA","BRI","FR"
"2209","FR9786","BRI","PSA","FR"
"2210","FR9795","FCO","MRS","FR"
"2211","FR9796","MRS","FCO","FR"
"2212","FR9810","STN","BCN","FR"
"2213","FR9811","BCN","STN","FR"
"2214","FR9814","STN","BCN","FR"
"2215","FR9815","BCN","STN","FR"
"2216","FR9818","LPL","LIG","FR"
"2217","FR9819","LIG","LPL","FR"
"2218","FR9822","CIA","BTS","FR"
"2219","FR9823","BTS","CIA","FR"
"2220","FR9834","HHN","VLC","FR"
"2221","FR9835","VLC","HHN","FR"
"2222","FR9852","ORK","LGW","FR"
"2223","FR9853","LGW","ORK","FR"
"2224","FR9858","HHN","TPS","FR"
"2225","FR9859","TPS","HHN","FR"
"2226","FR9862","LPL","AGP","FR"
"2227","FR9863","AGP","LPL","FR"
"2228","FR9866","HHN","PMI","FR"
"2229","FR9867","PMI","HHN","FR"
"2230","FR9871","ALC","KRK","FR"
"2231","FR9872","KRK","ALC","FR"
"2232","FR9874","BRI","MLA","FR"
"2233","FR9875","MLA","BRI","FR"
"2234","FR9876","HHN","SUF","FR"
"2235","FR9877","SUF","HHN","FR"
"2236","FR9884","LPL","LDY","FR"
"2237","FR9885","LDY","LPL","FR"
"2238","FR9886","LPL","ALC","FR"
"2239","FR9887","ALC","LPL","FR"
"2240","FR9895","LPL","ORK","FR"
"2241","FR9896","ORK","LPL","FR"
"2242","FR9916","LPL","CCF","FR"
"2243","FR9917","CCF","LPL","FR"
"2244","FR9921","AHO","TSF","FR"
"2245","FR9922","TSF","AHO","FR"
"2246","FR9923","PSA","EIN","FR"
"2247","FR9924","EIN","PSA","FR"
"2248","FR9926","PSA","AHO","FR"
"2249","FR9927","AHO","PSA","FR"
"2250","FR9931","PSA","CAG","FR"
"2251","FR9932","CAG","PSA","FR"
"2252","FR9933","PSA","CAG","FR"
"2253","FR9934","CAG","PSA","FR"
"2254","FR9943","ORK","ACE","FR"
"2255","FR9944","ACE","ORK","FR"
"2256","FR9976","PSA","BVA","FR"
"2257","FR9977","BVA","PSA","FR"
"2258","FR9981","AHO","BLQ","FR"
"2259","FR9982","BLQ","AHO","FR"
"2260","FR9986","PSA","TPS","FR"
"2261","FR9987","TPS","PSA","FR"
"2262","FR9992","PSA","MLA","FR"
"2263","FR9993","MLA","PSA","FR"
"2264","FR9994","PSA","PMO","FR"
"2265","FR9995","PMO","PSA","FR"
"2266","4U10","CGN","TXL","4U"
"2267","4U11","TXL","CGN","4U"
"2268","4U12","CGN","TXL","4U"
"2269","4U13","TXL","CGN","4U"
"2270","4U14","CGN","TXL","4U"
"2271","4U15","TXL","CGN","4U"
"2272","4U16","CGN","TXL","4U"
"2273","4U17","TXL","CGN","4U"
"2274","4U18","CGN","TXL","4U"
"2275","4U19","TXL","CGN","4U"
"2276","4U20","CGN","TXL","4U"
"2277","4U21","TXL","CGN","4U"
"2278","4U22","CGN","DRS","4U"
"2279","4U23","DRS","CGN","4U"
"2280","4U24","CGN","TXL","4U"
"2281","4U25","TXL","CGN","4U"
"2282","4U26","CGN","DRS","4U"
"2283","4U27","DRS","CGN","4U"
"2284","4U28","CGN","DRS","4U"
"2285","4U29","DRS","CGN","4U"
"2286","4U30","CGN","HAM","4U"
"2287","4U31","HAM","CGN","4U"
"2288","4U32","CGN","HAM","4U"
"2289","4U33","HAM","CGN","4U"
"2290","4U34","CGN","HAM","4U"
"2291","4U35","HAM","CGN","4U"
"2292","4U36","CGN","HAM","4U"
"2293","4U37","HAM","CGN","4U"
"2294","4U40","CGN","SXF","4U"
"2295","4U41","SXF","CGN","4U"
"2296","4U42","CGN","SXF","4U"
"2297","4U43","SXF","CGN","4U"
"2298","4U44","CGN","SXF","4U"
"2299","4U45","SXF","CGN","4U"
"2300","4U50","CGN","TXL","4U"
"2301","4U51","TXL","CGN","4U"
"2302","4U64","CGN","RLG","4U"
"2303","4U65","RLG","CGN","4U"
"2304","4U72","CGN","LEJ","4U"
"2305","4U73","LEJ","CGN","4U"
"2306","4U78","CGN","LEJ","4U"
"2307","4U79","LEJ","CGN","4U"
"2308","4U242","CGN","FUE","4U"
"2309","4U243","FUE","CGN","4U"
"2310","4U252","CGN","TFS","4U"
"2311","4U253","TFS","CGN","4U"
"2312","4U268","CGN","LPA","4U"
"2313","4U269","LPA","CGN","4U"
"2314","4U270","CGN","LPA","4U"
"2315","4U271","LPA","CGN","4U"
"2316","4U276","CGN","SZG","4U"
"2317","4U277","SZG","CGN","4U"
"2318","4U284","CGN","KLU","4U"
"2319","4U285","KLU","CGN","4U"
"2320","4U342","CGN","MAN","4U"
"2321","4U343","MAN","CGN","4U"
"2322","4U354","CGN","STN","4U"
"2323","4U355","STN","CGN","4U"
"2324","4U356","CGN","STN","4U"
"2325","4U357","STN","CGN","4U"
"2326","4U358","CGN","STN","4U"
"2327","4U359","STN","CGN","4U"
"2328","4U382","CGN","TUN","4U"
"2329","4U383","TUN","CGN","4U"
"2330","4U396","CGN","DUB","4U"
"2331","4U397","DUB","CGN","4U"
"2332","4U424","CGN","NCE","4U"
"2333","4U425","NCE","CGN","4U"
"2334","4U460","CGN","LHR","4U"
"2335","4U461","LHR","CGN","4U"
"2336","4U465","LHR","CGN","4U"
"2337","4U468","CGN","LHR","4U"
"2338","4U469","LHR","CGN","4U"
"2339","4U492","CGN","SJJ","4U"
"2340","4U493","SJJ","CGN","4U"
"2341","4U520","CGN","BCN","4U"
"2342","4U521","BCN","CGN","4U"
"2343","4U526","CGN","BCN","4U"
"2344","4U527","BCN","CGN","4U"
"2345","4U562","CGN","RAK","4U"
"2346","4U563","RAK","CGN","4U"
"2347","4U602","CGN","LIS","4U"
"2348","4U603","LIS","CGN","4U"
"2349","4U652","CGN","SKG","4U"
"2350","4U653","SKG","CGN","4U"
"2351","4U752","CGN","VIE","4U"
"2352","4U753","VIE","CGN","4U"
"2353","4U754","CGN","VIE","4U"
"2354","4U755","VIE","CGN","4U"
"2355","4U756","CGN","VIE","4U"
"2356","4U757","VIE","CGN","4U"
"2357","4U762","CGN","ZRH","4U"
"2358","4U763","ZRH","CGN","4U"
"2359","4U764","CGN","ZRH","4U"
"2360","4U765","ZRH","CGN","4U"
"2361","4U766","CGN","ZRH","4U"
"2362","4U767","ZRH","CGN","4U"
"2363","4U768","CGN","ZRH","4U"
"2364","4U769","ZRH","CGN","4U"
"2365","4U772","CGN","PRG","4U"
"2366","4U773","PRG","CGN","4U"
"2367","4U788","CGN","BUD","4U"
"2368","4U789","BUD","CGN","4U"
"2369","4U814","CGN","VCE","4U"
"2370","4U815","VCE","CGN","4U"
"2371","4U816","CGN","CTA","4U"
"2372","4U817","CTA","CGN","4U"
"2373","4U824","CGN","MXP","4U"
"2374","4U825","MXP","CGN","4U"
"2375","4U826","CGN","MXP","4U"
"2376","4U827","MXP","CGN","4U"
"2377","4U838","CGN","BLQ","4U"
"2378","4U839","BLQ","CGN","4U"
"2379","4U862","CGN","NAP","4U"
"2380","4U863","NAP","CGN","4U"
"2381","4U886","CGN","FCO","4U"
"2382","4U887","FCO","CGN","4U"
"2383","4U962","CGN","SPU","4U"
"2384","4U963","SPU","CGN","4U"
"2385","4U968","CGN","SPU","4U"
"2386","4U969","SPU","CGN","4U"
"2387","4U972","CGN","ZAG","4U"
"2388","4U973","ZAG","CGN","4U"
"2389","4U2000","STR","TXL","4U"
"2390","4U2001","TXL","STR","4U"
"2391","4U2004","STR","TXL","4U"
"2392","4U2005","TXL","STR","4U"
"2393","4U2006","STR","TXL","4U"
"2394","4U2007","TXL","STR","4U"
"2395","4U2012","STR","SXF","4U"
"2396","4U2013","SXF","STR","4U"
"2397","4U2014","STR","TXL","4U"
"2398","4U2015","TXL","STR","4U"
"2399","4U2018","STR","SXF","4U"
"2400","4U2019","SXF","STR","4U"
"2401","4U2024","STR","DRS","4U"
"2402","4U2025","DRS","STR","4U"
"2403","4U2026","STR","DRS","4U"
"2404","4U2027","DRS","STR","4U"
"2405","4U2030","STR","BRE","4U"
"2406","4U2031","BRE","STR","4U"
"2407","4U2032","STR","BRE","4U"
"2408","4U2033","BRE","STR","4U"
"2409","4U2034","STR","BRE","4U"
"2410","4U2035","BRE","STR","4U"
"2411","4U2038","STR","BRE","4U"
"2412","4U2039","BRE","STR","4U"
"2413","4U2040","STR","HAM","4U"
"2414","4U2041","HAM","STR","4U"
"2415","4U2042","STR","HAM","4U"
"2416","4U2043","HAM","STR","4U"
"2417","4U2044","STR","HAM","4U"
"2418","4U2045","HAM","STR","4U"
"2419","4U2050","STR","HAJ","4U"
"2420","4U2051","HAJ","STR","4U"
"2421","4U2052","STR","HAJ","4U"
"2422","4U2053","HAJ","STR","4U"
"2423","4U2062","STR","RLG","4U"
"2424","4U2063","RLG","STR","4U"
"2425","4U2072","STR","LEJ","4U"
"2426","4U2073","LEJ","STR","4U"
"2427","4U2074","STR","LEJ","4U"
"2428","4U2075","LEJ","STR","4U"
"2429","4U2160","STR","BRU","4U"
"2430","4U2161","BRU","STR","4U"
"2431","4U2180","STR","AMS","4U"
"2432","4U2181","AMS","STR","4U"
"2433","4U2260","STR","LPA","4U"
"2434","4U2261","LPA","STR","4U"
"2435","4U2376","STR","STN","4U"
"2436","4U2377","STN","STR","4U"
"2437","4U2378","STR","STN","4U"
